year	day	hour	value
2009	4	7	36
2009	3	7	33
2009	2	7	33
2009	1	7	30
2009	7	7	19
2010	6	7	11
2010	5	7	24
2010	4	7	21
2010	3	7	28
2010	2	7	31
2010	1	7	29
2010	7	7	20
2011	6	7	17
2011	5	7	35
2011	4	7	24
2011	3	7	24
2011	2	7	22
2011	1	7	20
2011	7	7	12
2012	6	7	16
2012	5	7	31
2012	4	7	26
2012	3	7	34
2012	2	7	29
2012	1	7	33
2012	7	7	16
2013	6	7	34
2013	5	7	44
2013	4	7	44
2013	3	7	43
2013	2	7	54
2013	1	7	43
2013	7	7	33
2014	6	7	38
2014	5	7	34
2014	4	7	40
2014	3	7	51
2014	2	7	52
2014	1	7	60
2014	7	7	28
2015	6	7	23
2015	5	7	44
2015	4	7	31
2015	3	7	33
2015	2	7	34
2015	1	7	43
2015	7	7	31
2003	6	8	26
2003	5	8	50
2003	4	8	60
2003	3	8	49
2003	2	8	49
2003	1	8	49
2003	7	8	43
2004	6	8	38
2004	5	8	46
2004	4	8	54
2004	3	8	61
2004	2	8	51
2004	1	8	50
2004	7	8	31
2005	6	8	36
2005	5	8	59
2005	4	8	72
2005	3	8	71
2005	2	8	69
2005	1	8	72
2005	7	8	36
2006	6	8	42
2006	5	8	54
2006	4	8	71
2006	3	8	78
2006	2	8	76
2006	1	8	73
2006	7	8	42
2007	6	8	47
2007	5	8	59
2007	4	8	68
2007	3	8	53
2007	2	8	65
2007	1	8	59
2007	7	8	32
2008	6	8	35
2008	5	8	48
2008	4	8	56
2008	3	8	46
2008	2	8	58
2008	1	8	44
2008	7	8	37
2009	6	8	25
2009	5	8	48
2009	4	8	49
2009	3	8	54
2009	2	8	45
2009	1	8	41
2009	7	8	28
2010	6	8	25
2010	5	8	38
2010	4	8	35
2010	3	8	43
2010	2	8	41
2010	1	8	36
2010	7	8	23
2011	6	8	20
2011	5	8	39
2011	4	8	38
2011	3	8	37
2011	2	8	43
2011	1	8	24
2011	7	8	22
2012	6	8	30
2012	5	8	42
2012	4	8	51
2012	3	8	52
2012	2	8	47
2012	1	8	52
2012	7	8	39
2013	6	8	52
2013	5	8	73
2013	4	8	65
2013	3	8	64
2013	2	8	61
2013	1	8	70
2013	7	8	40
2014	6	8	63
2014	5	8	61
2014	4	8	41
2014	3	8	82
2014	2	8	49
2014	1	8	69
2014	7	8	54
2015	6	8	42
2015	5	8	55
2015	4	8	48
2015	3	8	46
2015	2	8	47
2015	1	8	42
2015	7	8	56
2003	6	9	39
2003	5	9	44
2003	4	9	52
2003	3	9	44
2003	2	9	43
2003	1	9	52
2003	7	9	45
2004	6	9	42
2004	5	9	60
2004	4	9	40
2004	3	9	61
2004	2	9	50
2004	1	9	60
2004	7	9	46
2005	6	9	39
2005	5	9	63
2005	4	9	71
2005	3	9	52
2005	2	9	58
2005	1	9	46
2005	7	9	49
2006	6	9	60
2006	5	9	59
2006	4	9	75
2006	3	9	75
2006	2	9	64
2006	1	9	77
2006	7	9	70
2007	6	9	73
2007	5	9	69
2007	4	9	72
2007	3	9	57
2007	2	9	64
2007	1	9	75
2007	7	9	43
2008	6	9	43
2008	5	9	55
2008	4	9	52
2008	3	9	63
2008	2	9	49
2008	1	9	50
2008	7	9	57
2009	6	9	36
2009	5	9	41
2009	4	9	41
2009	3	9	53
2009	2	9	44
2009	1	9	44
2009	7	9	56
2010	6	9	31
2010	5	9	37
2010	4	9	31
2010	3	9	27
2010	2	9	45
2010	1	9	35
2010	7	9	33
2011	6	9	30
2011	5	9	33
2011	4	9	41
2011	3	9	42
2011	2	9	41
2011	1	9	34
2011	7	9	37
2012	6	9	46
2012	5	9	55
2012	4	9	49
2012	3	9	49
2012	2	9	42
2012	1	9	62
2012	7	9	54
2013	6	9	72
2013	5	9	91
2013	4	9	83
2013	3	9	88
2013	2	9	79
2013	1	9	82
2013	7	9	72
2014	6	9	81
2014	5	9	83
2014	4	9	74
2014	3	9	85
2014	2	9	68
2014	1	9	77
2014	7	9	71
2015	6	9	82
2015	5	9	54
2015	4	9	60
2015	3	9	80
2015	2	9	68
2015	1	9	69
2015	7	9	85
2003	6	10	59
2003	5	10	36
2003	4	10	41
2003	3	10	60
2003	2	10	47
2003	1	10	47
2003	7	10	71
2004	6	10	63
2004	5	10	57
2004	4	10	46
2004	3	10	39
2004	2	10	45
2004	1	10	36
2004	7	10	61
2005	6	10	44
2005	5	10	56
2005	4	10	51
2005	3	10	37
2005	2	10	46
2005	1	10	58
2005	7	10	62
2006	6	10	77
2006	5	10	63
2006	4	10	81
2006	3	10	73
2006	2	10	77
2006	1	10	69
2006	7	10	90
2007	6	10	76
2007	5	10	55
2007	4	10	77
2007	3	10	69
2007	2	10	64
2007	1	10	69
2007	7	10	86
2008	6	10	63
2008	5	10	53
2008	4	10	51
2008	3	10	68
2008	2	10	53
2008	1	10	61
2008	7	10	84
2009	6	10	61
2009	5	10	42
2009	4	10	57
2009	3	10	33
2009	2	10	55
2009	1	10	45
2009	7	10	79
2010	6	10	38
2010	5	10	42
2010	4	10	31
2010	3	10	38
2010	2	10	30
2010	1	10	35
2010	7	10	52
2011	6	10	41
2011	5	10	35
2011	4	10	35
2011	3	10	44
2011	2	10	42
2011	1	10	43
2011	7	10	58
2012	6	10	70
2012	5	10	72
2012	4	10	71
2012	3	10	52
2012	2	10	70
2012	1	10	53
2012	7	10	61
2013	6	10	86
2013	5	10	102
2013	4	10	101
2013	3	10	81
2013	2	10	85
2013	1	10	90
2013	7	10	114
2014	6	10	116
2014	5	10	120
2014	4	10	88
2014	3	10	105
2014	2	10	112
2014	1	10	136
2014	7	10	133
2015	6	10	100
2015	5	10	93
2015	4	10	89
2015	3	10	95
2015	2	10	104
2015	1	10	97
2015	7	10	116
2003	6	11	59
2003	5	11	48
2003	4	11	46
2003	3	11	37
2003	2	11	60
2003	1	11	29
2003	7	11	86
2004	6	11	47
2004	5	11	47
2004	4	11	51
2004	3	11	38
2004	2	11	43
2004	1	11	38
2004	7	11	75
2005	6	11	51
2005	5	11	49
2005	4	11	40
2005	3	11	40
2005	2	11	58
2005	1	11	55
2005	7	11	66
2006	6	11	75
2006	5	11	62
2006	4	11	73
2006	3	11	54
2006	2	11	55
2006	1	11	59
2006	7	11	105
2007	6	11	77
2007	5	11	58
2007	4	11	63
2007	3	11	66
2007	2	11	66
2007	1	11	69
2007	7	11	93
2008	6	11	79
2008	5	11	56
2008	4	11	60
2008	3	11	49
2008	2	11	68
2008	1	11	55
2008	7	11	93
2009	6	11	62
2009	5	11	57
2009	4	11	59
2009	3	11	41
2009	2	11	55
2009	1	11	46
2009	7	11	82
2010	6	11	41
2010	5	11	45
2010	4	11	41
2010	3	11	44
2010	2	11	34
2010	1	11	43
2010	7	11	63
2011	6	11	37
2011	5	11	46
2011	4	11	55
2011	3	11	42
2011	2	11	32
2011	1	11	40
2011	7	11	73
2012	6	11	82
2012	5	11	66
2012	4	11	68
2012	3	11	65
2012	2	11	62
2012	1	11	66
2012	7	11	84
2013	6	11	112
2013	5	11	110
2013	4	11	111
2013	3	11	103
2013	2	11	97
2013	1	11	87
2013	7	11	125
2014	6	11	131
2014	5	11	123
2014	4	11	107
2014	3	11	110
2014	2	11	111
2014	1	11	121
2014	7	11	153
2015	6	11	128
2015	5	11	122
2015	4	11	102
2015	3	11	107
2015	2	11	114
2015	1	11	99
2015	7	11	153
2003	6	12	82
2003	5	12	57
2003	4	12	58
2003	3	12	59
2003	2	12	56
2003	1	12	59
2003	7	12	94
2004	6	12	67
2004	5	12	52
2004	4	12	69
2004	3	12	39
2004	2	12	44
2004	1	12	53
2004	7	12	78
2005	6	12	58
2005	5	12	67
2005	4	12	82
2005	3	12	79
2005	2	12	70
2005	1	12	63
2005	7	12	96
2006	6	12	113
2006	5	12	102
2006	4	12	74
2006	3	12	103
2006	2	12	78
2006	1	12	106
2006	7	12	122
2007	6	12	99
2007	5	12	83
2007	4	12	73
2007	3	12	69
2007	2	12	72
2007	1	12	77
2007	7	12	112
2008	6	12	97
2008	5	12	77
2008	4	12	58
2008	3	12	61
2008	2	12	63
2008	1	12	80
2008	7	12	108
2009	6	12	77
2009	5	12	56
2009	4	12	54
2009	3	12	46
2009	2	12	59
2009	1	12	63
2009	7	12	123
2010	6	12	75
2010	5	12	39
2010	4	12	45
2010	3	12	43
2010	2	12	55
2010	1	12	49
2010	7	12	88
2011	6	12	70
2011	5	12	53
2011	4	12	58
2011	3	12	50
2011	2	12	42
2011	1	12	41
2011	7	12	89
2012	6	12	89
2012	5	12	88
2012	4	12	69
2012	3	12	73
2012	2	12	74
2012	1	12	77
2012	7	12	98
2013	6	12	124
2013	5	12	103
2013	4	12	111
2013	3	12	123
2013	2	12	89
2013	1	12	110
2013	7	12	153
2014	6	12	139
2014	5	12	118
2014	4	12	110
2014	3	12	113
2014	2	12	114
2014	1	12	142
2014	7	12	139
2015	6	12	121
2015	5	12	114
2015	4	12	130
2015	3	12	105
2015	2	12	119
2015	1	12	127
2015	7	12	123
2003	6	13	56
2003	5	13	48
2003	4	13	49
2003	3	13	49
2003	2	13	62
2003	1	13	50
2003	7	13	88
2004	6	13	66
2004	5	13	64
2004	4	13	42
2004	3	13	41
2004	2	13	54
2004	1	13	36
2004	7	13	71
2005	6	13	77
2005	5	13	68
2005	4	13	47
2005	3	13	56
2005	2	13	59
2005	1	13	51
2005	7	13	94
2006	6	13	86
2006	5	13	63
2006	4	13	77
2006	3	13	70
2006	2	13	64
2006	1	13	80
2006	7	13	109
2007	6	13	102
2007	5	13	76
2007	4	13	71
2007	3	13	49
2007	2	13	51
2007	1	13	64
2007	7	13	117
2008	6	13	81
2008	5	13	82
2008	4	13	58
2008	3	13	50
2008	2	13	52
2008	1	13	64
2008	7	13	109
2009	6	13	78
2009	5	13	51
2009	4	13	53
2009	3	13	48
2009	2	13	50
2009	1	13	55
2009	7	13	100
2010	6	13	61
2010	5	13	47
2010	4	13	44
2010	3	13	41
2010	2	13	35
2010	1	13	37
2010	7	13	61
2011	6	13	61
2011	5	13	54
2011	4	13	43
2011	3	13	50
2011	2	13	35
2011	1	13	53
2011	7	13	78
2012	6	13	74
2012	5	13	70
2012	4	13	74
2012	3	13	76
2012	2	13	62
2012	1	13	75
2012	7	13	95
2013	6	13	127
2013	5	13	106
2013	4	13	110
2013	3	13	114
2013	2	13	101
2013	1	13	116
2013	7	13	115
2014	6	13	138
2014	5	13	137
2014	4	13	95
2014	3	13	116
2014	2	13	112
2014	1	13	103
2014	7	13	144
2015	6	13	119
2015	5	13	115
2015	4	13	89
2015	3	13	94
2015	2	13	81
2015	1	13	85
2015	7	13	132
2003	6	14	62
2003	5	14	52
2003	4	14	50
2003	3	14	49
2003	2	14	51
2003	1	14	53
2003	7	14	64
2004	6	14	55
2004	5	14	57
2004	4	14	34
2004	3	14	56
2004	2	14	44
2004	1	14	52
2004	7	14	81
2005	6	14	68
2005	5	14	48
2005	4	14	57
2005	3	14	54
2005	2	14	61
2005	1	14	52
2005	7	14	73
2006	6	14	84
2006	5	14	80
2006	4	14	76
2006	3	14	79
2006	2	14	65
2006	1	14	67
2006	7	14	105
2007	6	14	89
2007	5	14	69
2007	4	14	72
2007	3	14	71
2007	2	14	84
2007	1	14	66
2007	7	14	128
2008	6	14	69
2008	5	14	76
2008	4	14	64
2008	3	14	55
2008	2	14	62
2008	1	14	54
2008	7	14	111
2009	6	14	72
2009	5	14	57
2009	4	14	43
2009	3	14	59
2009	2	14	45
2009	1	14	66
2009	7	14	85
2010	6	14	68
2010	5	14	38
2010	4	14	35
2010	3	14	44
2010	2	14	36
2010	1	14	43
2010	7	14	59
2011	6	14	70
2011	5	14	44
2011	4	14	41
2011	3	14	57
2011	2	14	50
2011	1	14	45
2011	7	14	60
2012	6	14	82
2012	5	14	82
2012	4	14	64
2012	3	14	61
2012	2	14	70
2012	1	14	80
2012	7	14	82
2013	6	14	115
2013	5	14	112
2013	4	14	90
2013	3	14	102
2013	2	14	108
2013	1	14	116
2013	7	14	157
2014	6	14	178
2014	5	14	115
2014	4	14	126
2014	3	14	108
2014	2	14	93
2014	1	14	114
2014	7	14	166
2015	6	14	136
2015	5	14	83
2015	4	14	94
2015	3	14	84
2015	2	14	76
2015	1	14	84
2015	7	14	125
2003	6	15	86
2003	5	15	58
2003	4	15	49
2003	3	15	54
2003	2	15	53
2003	1	15	47
2003	7	15	87
2004	6	15	83
2004	5	15	65
2004	4	15	62
2004	3	15	44
2004	2	15	53
2004	1	15	51
2004	7	15	60
2005	6	15	67
2005	5	15	62
2005	4	15	71
2005	3	15	56
2005	2	15	45
2005	1	15	57
2005	7	15	74
2006	6	15	103
2006	5	15	77
2006	4	15	78
2006	3	15	87
2006	2	15	80
2006	1	15	73
2006	7	15	104
2007	6	15	87
2007	5	15	75
2007	4	15	63
2007	3	15	85
2007	2	15	82
2007	1	15	61
2007	7	15	107
2008	6	15	92
2008	5	15	78
2008	4	15	65
2008	3	15	66
2008	2	15	58
2008	1	15	53
2008	7	15	100
2009	6	15	89
2009	5	15	61
2009	4	15	63
2009	3	15	54
2009	2	15	60
2009	1	15	54
2009	7	15	72
2010	6	15	81
2010	5	15	52
2010	4	15	43
2010	3	15	50
2010	2	15	44
2010	1	15	45
2010	7	15	75
2011	6	15	81
2011	5	15	56
2011	4	15	44
2011	3	15	57
2011	2	15	57
2011	1	15	47
2011	7	15	81
2012	6	15	101
2012	5	15	88
2012	4	15	92
2012	3	15	83
2012	2	15	92
2012	1	15	88
2012	7	15	107
2013	6	15	147
2013	5	15	122
2013	4	15	107
2013	3	15	104
2013	2	15	85
2013	1	15	123
2013	7	15	123
2014	6	15	148
2014	5	15	127
2014	4	15	97
2014	3	15	131
2014	2	15	101
2014	1	15	126
2014	7	15	159
2015	6	15	139
2015	5	15	94
2015	4	15	89
2015	3	15	88
2015	2	15	79
2015	1	15	77
2015	7	15	168
2003	6	16	98
2003	5	16	75
2003	4	16	71
2003	3	16	68
2003	2	16	69
2003	1	16	75
2003	7	16	98
2004	6	16	73
2004	5	16	77
2004	4	16	59
2004	3	16	73
2004	2	16	78
2004	1	16	71
2004	7	16	73
2005	6	16	73
2005	5	16	75
2005	4	16	69
2005	3	16	51
2005	2	16	77
2005	1	16	72
2005	7	16	87
2006	6	16	121
2006	5	16	95
2006	4	16	100
2006	3	16	81
2006	2	16	101
2006	1	16	91
2006	7	16	124
2007	6	16	94
2007	5	16	94
2007	4	16	74
2007	3	16	88
2007	2	16	79
2007	1	16	89
2007	7	16	106
2008	6	16	87
2008	5	16	71
2008	4	16	68
2008	3	16	75
2008	2	16	77
2008	1	16	79
2008	7	16	96
2009	6	16	92
2009	5	16	76
2009	4	16	75
2009	3	16	72
2009	2	16	82
2009	1	16	70
2009	7	16	88
2010	6	16	78
2010	5	16	68
2010	4	16	46
2010	3	16	83
2010	2	16	58
2010	1	16	72
2010	7	16	65
2011	6	16	82
2011	5	16	55
2011	4	16	64
2011	3	16	65
2011	2	16	69
2011	1	16	75
2011	7	16	81
2012	6	16	99
2012	5	16	112
2012	4	16	97
2012	3	16	107
2012	2	16	101
2012	1	16	103
2012	7	16	100
2013	6	16	133
2013	5	16	146
2013	4	16	112
2013	3	16	125
2013	2	16	124
2013	1	16	131
2013	7	16	134
2014	6	16	204
2014	5	16	143
2014	4	16	139
2014	3	16	146
2014	2	16	146
2014	1	16	126
2014	7	16	156
2015	6	16	126
2015	5	16	131
2015	4	16	121
2015	3	16	136
2015	2	16	123
2015	1	16	126
2015	7	16	126
2003	6	17	107
2003	5	17	144
2003	4	17	99
2003	3	17	98
2003	2	17	107
2003	1	17	98
2003	7	17	120
2004	6	17	93
2004	5	17	102
2004	4	17	81
2004	3	17	101
2004	2	17	102
2004	1	17	84
2004	7	17	108
2005	6	17	114
2005	5	17	109
2005	4	17	116
2005	3	17	100
2005	2	17	121
2005	1	17	97
2005	7	17	112
2006	6	17	139
2006	5	17	153
2006	4	17	106
2006	3	17	123
2006	2	17	143
2006	1	17	126
2006	7	17	129
2007	6	17	109
2007	5	17	128
2007	4	17	111
2007	3	17	119
2007	2	17	128
2007	1	17	109
2007	7	17	115
2008	6	17	100
2008	5	17	100
2008	4	17	91
2008	3	17	111
2008	2	17	112
2008	1	17	124
2008	7	17	101
2009	6	17	108
2009	5	17	118
2009	4	17	84
2009	3	17	83
2009	2	17	105
2009	1	17	100
2009	7	17	105
2010	6	17	89
2010	5	17	98
2010	4	17	79
2010	3	17	84
2010	2	17	103
2010	1	17	96
2010	7	17	79
2011	6	17	94
2011	5	17	109
2011	4	17	89
2011	3	17	81
2011	2	17	113
2011	1	17	96
2011	7	17	83
2012	6	17	107
2012	5	17	154
2012	4	17	121
2012	3	17	127
2012	2	17	131
2012	1	17	139
2012	7	17	129
2013	6	17	173
2013	5	17	205
2013	4	17	177
2013	3	17	163
2013	2	17	153
2013	1	17	182
2013	7	17	143
2014	6	17	191
2014	5	17	200
2014	4	17	180
2014	3	17	197
2014	2	17	179
